Stock_Code,Stock_Name,Stock_Code1,Stock_Name1,Start_Date
600271,  ????????,600271,  ????????,  2003-07-11
600272,  ????????,600272,  ????????,  1997-01-08
600273,  ????????,600273,  ????????,  2003-06-27
600275,  *ST????,600275,  *ST????,  2000-08-10
600276,  ????????,600276,  ????????,  2000-10-18
600277,  ????????,600277,  ????????,  2000-07-25
600278,  ????????,600278,  ????????,  2000-07-12
600279,  ??????,600279,  ??????,  2000-07-31
600280,  ????????,600280,  ????????,  2000-09-26
600281,  ????????,600281,  ????????,  2000-11-09
600282,  ????????,600282,  ????????,  2000-09-19
600283,  ????????,600283,  ????????,  2000-10-18
600284,  ????????,600284,  ????????,  2004-03-16
600285,  ????????,600285,  ????????,  2000-10-18
600287,  ????????,600287,  ????????,  2000-09-01
600288,  ????????,600288,  ????????,  2000-11-29
600289,  ST????,600289,  ST????,  2000-07-20
600290,  ST????,600290,  ST????,  2000-11-06
600291,  *ST????,600291,  *ST????,  2000-07-31
600292,  ????????,600292,  ????????,  2000-11-01
600293,  ????????,600293,  ????????,  2000-09-19
600295,  ????????,600295,  ????????,  1995-10-20
600297,  ????????,600297,  ????????,  2000-11-16
600298,  ????????,600298,  ????????,  2000-08-18
600299,  ??????,600299,  ??????,  2000-04-20
600300,  ST????,600300,  ST????,  2000-06-30
600301,  *ST????,600301,  *ST????,  2000-07-12
600302,  ????????,600302,  ????????,  2000-12-13
600303,  ????????,600303,  ????????,  2000-12-26
600305,  ????????,600305,  ????????,  2001-02-06
600306,  *ST????,600306,  *ST????,  2000-12-26
600307,  ????????,600307,  ????????,  2000-12-20
600308,  ????????,600308,  ????????,  2000-09-28
600309,  ????????,600309,  ????????,  2000-01-05
600310,  ????????,600310,  ????????,  2001-02-28
600311,  ST????,600311,  ST????,  2001-06-26
600312,  ????????,600312,  ????????,  2001-02-21
600313,  ????????,600313,  ????????,  2001-01-19
600315,  ????????,600315,  ????????,  2001-03-15
600316,  ????????,600316,  ????????,  2000-12-15
600318,  ????????,600318,  ????????,  2000-12-08
600319,  *ST????,600319,  *ST????,  2001-03-26
600320,  ????????,600320,  ????????,  2000-12-21
600321,  ????????,600321,  ????????,  2001-05-24
600322,  ????????,600322,  ????????,  2001-09-10
600323,  ????????,600323,  ????????,  2000-12-25
600325,  ????????,600325,  ????????,  2004-02-25
600326,  ????????,600326,  ????????,  2001-01-16
600327,  ??????,600327,  ??????,  2002-06-25
600328,  ????????,600328,  ????????,  2000-12-22
600329,  ????????,600329,  ????????,  2001-06-06
600330,  ????????,600330,  ????????,  2001-01-18
600331,  ????????,600331,  ????????,  2001-12-20
600332,  ??????,600332,  ??????,  2001-02-06
600333,  ????????,600333,  ????????,  2000-12-11
600335,  ????????,600335,  ????????,  2001-03-05
600336,  ??????,600336,  ??????,  2000-12-29
600337,  ????????,600337,  ????????,  2000-11-27
600338,  ????????,600338,  ????????,  2000-12-27
600339,  ????????,600339,  ????????,  2000-12-25
600340,  ????????,600340,  ????????,  2003-12-30
600343,  ????????,600343,  ????????,  2003-04-08
600345,  ????????,600345,  ????????,  2000-12-22
600346,  ????????,600346,  ????????,  2001-08-20
600348,  ????????,600348,  ????????,  2003-08-21
600350,  ????????,600350,  ????????,  2002-03-18
600351,  ????????,600351,  ????????,  2002-09-26
600352,  ????????,600352,  ????????,  2003-08-01
600353,  ????????,600353,  ????????,  2002-11-20
600354,  ????????,600354,  ????????,  2004-01-15
600355,  ????????,600355,  ????????,  2002-06-13
600356,  ????????,600356,  ????????,  2001-04-19
600358,  ????????,600358,  ????????,  2000-09-22
